date,liq,
197011,-0.00580052,
197012,0.05103302,
197101,-0.05202525,
197102,-0.02022328,
197103,0.01789328,
197104,0.02803229,
197105,0.00630164,
197106,-0.03891157,
197107,-0.00182260,
197108,0.02494777,
197109,0.00606665,
197110,0.03499148,
197111,0.00736597,
197112,0.00253523,
197201,-0.03449117,
197202,0.01024115,
197203,0.03312923,
197204,0.01514382,
197205,-0.00067656,
197206,0.01315457,
197207,0.01574420,
197208,-0.03021830,
197209,-0.01442212,
197210,-0.01615959,
197211,-0.00776532,
197212,0.00898538,
197301,-0.01456082,
197302,-0.01090211,
197303,-0.01296570,
197304,0.02323191,
197305,-0.00258940,
197306,-0.03263042,
197307,0.00246489,
197308,0.01564823,
197309,0.01702993,
197310,-0.04304415,
197311,-0.02681412,
197312,-0.01678427,
197401,0.10418518,
197402,0.03646193,
197403,0.04699442,
197404,0.02100897,
197405,0.05574471,
197406,-0.00622637,
197407,-0.00344100,
197408,-0.02381915,
197409,0.02169861,
197410,-0.07344784,
197411,-0.01935048,
197412,0.01903864,
197501,0.10767499,
197502,0.03711914,
197503,0.05958711,
197504,0.00093400,
197505,-0.03162696,
197506,-0.01776367,
197507,-0.01027577,
197508,-0.00831454,
197509,-0.01888637,
197510,0.09092135,
197511,0.03603464,
197512,-0.00322575,
197601,0.01751494,
197602,-0.04278389,
197603,-0.01660943,
197604,-0.01956703,
197605,-0.04190786,
197606,-0.00610714,
197607,-0.02750855,
197608,0.01800230,
197609,-0.01528527,
197610,0.00399457,
197611,-0.02344162,
197612,-0.01253071,
197701,-0.03090381,
197702,-0.01027310,
197703,0.01122769,
197704,-0.02971101,
197705,0.01743986,
197706,0.02081410,
197707,0.00111370,
197708,0.03117883,
197709,0.01221344,
197710,-0.01137042,
197711,0.00429908,
197712,-0.00563987,
197801,0.00650995,
197802,0.00136091,
197803,0.01633719,
197804,0.03212413,
197805,0.01593199,
197806,0.00834925,
197807,0.03180526,
197808,-0.00140559,
197809,-0.02595187,
197810,0.04393819,
197811,-0.03453245,
197812,0.00320466,
197901,-0.00940122,
197902,-0.03257974,
197903,-0.01101773,
197904,0.02047961,
197905,-0.02378100,
197906,-0.01699896,
197907,-0.01449611,
197908,0.01599076,
197909,-0.00999328,
197910,-0.00045465,
197911,-0.06976762,
197912,-0.01799238,
198001,0.00018610,
198002,0.01719526,
198003,0.02982032,
198004,-0.01119830,
198005,-0.00725668,
198006,0.01042402,
198007,-0.00685490,
198008,0.01144489,
198009,0.01401007,
198010,0.02764647,
198011,0.02789981,
198012,0.02750117,
198101,0.04003611,
198102,0.00207780,
198103,0.01531355,
198104,-0.01713319,
198105,-0.02528308,
198106,0.06080179,
198107,-0.01412726,
198108,-0.00151730,
198109,0.09463966,
198110,-0.02337636,
198111,0.06020799,
198112,0.00777277,
198201,-0.02015572,
198202,-0.01174033,
198203,0.04321288,
198204,-0.02440709,
198205,0.02937871,
198206,0.04982222,
198207,-0.01620085,
198208,-0.00479533,
198209,0.04229533,
198210,-0.03734213,
198211,0.01039021,
198212,-0.03160980,
198301,-0.05260168,
198302,-0.02930760,
198303,0.04336446,
198304,0.03779305,
198305,0.01919054,
198306,-0.00040756,
198307,0.04569342,
198308,0.04335315,
198309,0.01099896,
198310,0.05662081,
198311,-0.06996360,
198312,0.05017865,
198401,0.06659971,
198402,0.00850094,
198403,0.00530732,
198404,0.00830868,
198405,0.02400766,
198406,-0.00547198,
198407,0.01549686,
198408,-0.02667349,
198409,0.02622654,
198410,-0.00762248,
198411,0.01602190,
198412,-0.00493264,
198501,-0.01578563,
198502,0.02476970,
198503,0.04016570,
198504,0.03773248,
198505,-0.00795588,
198506,0.00735248,
198507,-0.01765668,
198508,0.02672546,
198509,0.01093591,
198510,0.05150047,
198511,0.00672971,
198512,-0.02013096,
198601,0.01597593,
198602,0.00281563,
198603,0.03818390,
198604,-0.00300567,
198605,0.02628063,
198606,0.05867345,
198607,-0.01380785,
198608,-0.02668404,
198609,0.04453353,
198610,0.01576519,
198611,-0.02940300,
198612,-0.01277188,
198701,-0.07152219,
198702,-0.04061123,
198703,-0.01097802,
198704,-0.03756075,
198705,0.00815739,
198706,0.02275992,
198707,0.00987008,
198708,-0.04520908,
198709,0.00486162,
198710,0.03480785,
198711,-0.00927515,
198712,0.00274312,
198801,0.04408850,
198802,0.00385365,
198803,-0.02056734,
198804,-0.02535004,
198805,-0.00543695,
198806,-0.00953852,
198807,-0.00947366,
198808,0.03589580,
198809,0.01492470,
198810,0.02369342,
198811,-0.00057618,
198812,-0.04471436,
198901,-0.00220187,
198902,-0.00427192,
198903,-0.00970341,
198904,-0.02000575,
198905,-0.03828178,
198906,0.07366713,
198907,0.03081888,
198908,0.00652344,
198909,-0.04880614,
198910,0.02662517,
198911,-0.02547946,
198912,0.02029981,
199001,-0.03364272,
199002,-0.02990935,
199003,-0.02689389,
199004,0.05850528,
199005,-0.00628601,
199006,0.02616832,
199007,0.05014475,
199008,0.04515800,
199009,0.01964647,
199010,-0.01223098,
199011,-0.01153405,
199012,-0.03337994,
199101,-0.09360752,
199102,-0.02090430,
199103,-0.00623482,
199104,0.01702663,
199105,-0.00890575,
199106,0.02953914,
199107,0.01763190,
199108,-0.01811231,
199109,0.01055563,
199110,0.02144749,
199111,0.04347328,
199112,-0.05098599,
199201,-0.07806138,
199202,-0.04595154,
199203,-0.00100618,
199204,-0.00616180,
199205,-0.00189318,
199206,0.01980320,
199207,0.02433435,
199208,0.04984212,
199209,-0.02150347,
199210,-0.01935261,
199211,-0.05248292,
199212,-0.02750549,
199301,-0.00307993,
199302,0.06761220,
199303,-0.04119357,
199304,-0.01662867,
199305,0.04365056,
199306,-0.03162674,
199307,-0.01376605,
199308,0.01636544,
199309,-0.07546294,
199310,0.04824521,
199311,0.05187487,
199312,0.01264357,
199401,-0.00666442,
199402,0.00930770,
199403,0.02605825,
199404,0.00724243,
199405,0.03475277,
199406,0.00294348,
199407,-0.01134941,
199408,0.00418145,
199409,0.03081471,
199410,0.01295209,
199411,-0.01976682,
199412,0.01717236,
199501,-0.03696721,
199502,-0.00404939,
199503,0.01954637,
199504,0.02623209,
199505,-0.00923606,
199506,0.00528835,
199507,0.04696596,
199508,-0.00968895,
199509,-0.08151823,
199510,0.03408096,
199511,-0.02020720,
199512,-0.03618182,
199601,0.06793919,
199602,0.03771266,
199603,-0.04008977,
199604,-0.04751534,
199605,-0.02249430,
199606,-0.05448895,
199607,0.00622302,
199608,0.00576638,
199609,-0.01991500,
199610,-0.00909880,
199611,0.07055991,
199612,-0.03576462,
199701,-0.03239208,
199702,-0.03783441,
199703,0.02202830,
199704,0.06034771,
199705,0.01286950,
199706,0.01036155,
199707,0.02945152,
199708,-0.00579011,
199709,-0.01326268,
199710,-0.00391782,
199711,0.05349935,
199712,0.00213297,
199801,0.00715538,
199802,0.05686569,
199803,-0.02666041,
199804,-0.00525295,
199805,-0.00819054,
199806,0.01526897,
199807,0.00594536,
199808,-0.03609302,
199809,0.02689999,
199810,0.02027144,
199811,0.01919411,
199812,0.03415659,
199901,0.05032729,
199902,0.02085955,
199903,-0.00471519,
199904,0.08913374,
199905,-0.00720826,
199906,0.04348088,
199907,-0.01604955,
199908,-0.00405103,
199909,-0.03051260,
199910,0.08900741,
199911,-0.01749778,
199912,0.04421202,
200001,0.01117172,
200002,0.00886795,
200003,-0.00146242,
200004,-0.04338874,
200005,-0.02643651,
200006,-0.03424527,
200007,0.10993483,
200008,-0.00958459,
200009,-0.03850098,
200010,0.02268829,
200011,-0.03664315,
200012,0.01251550,
200101,0.06717590,
200102,0.04410488,
200103,0.07493597,
200104,0.00720623,
200105,0.02824975,
200106,0.00863938,
200107,0.03940709,
200108,0.04917717,
200109,-0.09614687,
200110,0.03436219,
200111,0.03403360,
200112,0.06832721,
200201,-0.01381893,
200202,0.01875624,
200203,0.09067946,
200204,0.05186019,
200205,0.05181003,
200206,-0.01103010,
200207,-0.05821796,
200208,0.00649224,
200209,-0.01369389,
200210,0.03624659,
200211,0.03130342,
200212,-0.01317645,
200301,-0.02752884,
200302,0.00942072,
200303,0.00023824,
200304,0.03949970,
200305,0.00823462,
200306,-0.00849397,
200307,0.07017482,
200308,0.04095366,
200309,-0.00853438,
200310,0.01757381,
200311,0.00388611,
200312,-0.00362770,
200401,-0.05535226,
200402,0.01978400,
200403,0.02585869,
200404,-0.01941858,
200405,0.00523792,
200406,0.02329126,
200407,0.07586880,
200408,0.05541018,
200409,0.00242620,
200410,-0.00133590,
200411,0.01181586,
200412,-0.03279303,
200501,0.03836039,
200502,0.04569122,
200503,0.00140555,
200504,-0.05208414,
200505,0.00557121,
200506,0.04351283,
200507,0.02228825,
200508,0.02368731,
200509,0.03210042,
200510,-0.04433390,
200511,0.00525630,
200512,-0.00231570,
200601,0.02587337,
200602,-0.01858655,
200603,0.01001562,
200604,0.01515045,
200605,0.02696833,
200606,0.03532918,
200607,0.05356303,
200608,-0.04043587,
200609,-0.00612046,
200610,0.04816679,
200611,0.01679226,
200612,-0.00944379,
200701,0.01448124,
200702,0.03007722,
200703,0.02356034,
200704,0.00847236,
200705,0.02482965,
200706,0.01488787,
200707,0.03001257,
200708,-0.01704502,
200709,0.03375692,
200710,0.05527637,
200711,0.01185688,
200712,0.05016117,
200801,-0.12464677,
200802,0.00570883,
200803,0.06220604,
200804,0.10850528,
200805,0.06724338,
200806,0.05542485,
200807,-0.09005918,
200808,0.01547069,
200809,-0.12729462,
200810,-0.07759627,
200811,-0.06049788,
200812,-0.07735741,
200901,0.04792359,
200902,0.00317325,
200903,-0.03729287,
200904,0.03227874,
200905,0.04611157,
200906,-0.03908300,
200907,0.01423822,
200908,-0.02618198,
200909,0.06417523,
200910,0.06779421,
200911,-0.00784823,
200912,0.00532820,
201001,-0.01306015,
201002,0.00242064,
201003,-0.06033260,
201004,0.00068506,
201005,-0.02796346,
201006,0.00943466,
201007,0.03564170,
201008,0.04128929,
201009,0.02392887,
201010,0.02499808,
201011,0.02230162,
201012,0.02480090,
201101,0.01065353,
201102,-0.01067225,
201103,0.00162564,
201104,-0.05765972,
201105,-0.02308559,
201106,-0.01420663,
201107,-0.00405624,
201108,-0.04074205,
201109,-0.07359900,
201110,0.08841387,
201111,0.02953035,
201112,-0.01218820,
201201,-0.02367872,
201202,0.02976903,
201203,-0.06276077,
201204,0.00577801,
201205,-0.00048341,
201206,0.00140522,
201207,0.00302545,
201208,-0.00132828,
201209,-0.02670416,
201210,0.00005951,
201211,-0.02064524,
201212,0.01401274,
201301,-0.02552632,
201302,-0.00664380,
201303,0.00589170,
201304,-0.02093377,
201305,0.00337410,
201306,-0.01497155,
201307,0.00220108,
201308,0.01323187,
201309,-0.01834883,
201310,-0.02097950,
201311,-0.02898527,
201312,-0.00027609,
201401,0.02553811,
201402,-0.00932216,
201403,0.02370310,
201404,-0.04995614,
201405,0.00002498,
201406,0.01384509,
201407,-0.00776938,
201408,0.00240653,
201409,0.01448725,
201410,0.04633230,
201411,-0.01365758,
201412,0.02740803,
201501,-0.01779216,
201502,-0.01543352,
201503,0.00286645,
201504,0.00379702,
201505,0.03364162,
201506,0.01529581,
201507,0.00922343,
201508,0.00159844,
201509,0.00539347,
201510,-0.06154080,
201511,0.03697156,
201512,-0.00407437,
201601,-0.04529135,
201602,-0.02691575,
201603,-0.01799166,
201604,0.01915936,
201605,-0.00902774,
201606,0.02012421,
201607,-0.01290993,
201608,0.00593376,
201609,0.02603958,
201610,-0.01267956,
201611,0.02104464,
201612,-0.02617386,
201701,0.00658779,
201702,-0.04900065,
201703,-0.03731409,
201704,-0.01783388,
201705,-0.02653141,
201706,0.00671422,
201707,0.01200047,
201708,-0.02368769,
201709,-0.00297494,
201710,-0.03785089,
201711,0.00648892,
201712,0.03916713,
201801,-0.01426162,
201802,0.02313434,
201803,0.00209090,
201804,0.03112780,
201805,0.03830835,
201806,-0.00363925,
201807,-0.00138384,
201808,-0.02458220,
201809,0.00403882,
201810,-0.01147793,
201811,0.03201622,
201812,-0.00434309,
201901,0.03639193,
201902,-0.00667559,
201903,-0.00484310,
201904,-0.02717720,
201905,-0.01256093,
201906,-0.02371270,
201907,-0.00983764,
201908,-0.01478507,
201909,-0.03895158,
201910,-0.00169917,
201911,0.01198894,
201912,0.00029492,
202001,-0.00487802,
202002,0.02191760,
202003,-0.14708832,
202004,0.13153574,
202005,0.05717267,
202006,0.06217612,
202007,-0.01202724,
202008,0.03476342,
202009,-0.01195429,
202010,0.03863318,
202011,0.04859846,
202012,0.06119924,